Category,Pack,FileName,Path,SizeBytes,SizeKB,UsedStatus,ReferencedBy
Doc,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Important!!!!.pdf,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Important!!!!.pdf,182528,178.2,UNUSED,
Material,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Color Bloom.mat,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Material/Color Bloom.mat,3925,3.8,SHIPPED,City.unity dependency
Material,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Color.mat,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Material/Color.mat,3852,3.8,SHIPPED,City.unity dependency
Material,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Demo Scene Ground.mat,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Material/Demo Scene Ground.mat,3806,3.7,PACK-DEMO ONLY,referenced only inside its own pack by FreeCar Scene.unity
Material,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Sky.mat,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Material/Sky.mat,3931,3.8,PACK-DEMO ONLY,referenced only inside its own pack by FreeCar Scene.unity
Other,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Mobile Optimize-Free Low Poly Cars.lighting,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Mobile Optimize-Free Low Poly Cars.lighting,1815,1.8,PACK-DEMO ONLY,referenced only inside its own pack by FreeCar Scene.unity
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Air Plane_1.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Air Plane_1.fbx,62524,61.1,PACK-DEMO ONLY,referenced only inside its own pack by Air Plane_1.prefab
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Classic Car_9.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Classic Car_9.fbx,86732,84.7,SHIPPED,City.unity dependency
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Hatchback Car_15.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Hatchback Car_15.fbx,94172,92.0,SHIPPED,City.unity dependency
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Military Vehicle_3.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Military Vehicle_3.fbx,140380,137.1,PACK-DEMO ONLY,referenced only inside its own pack by Military Vehicle_3.prefab
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Monster Truck_12.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Monster Truck_12.fbx,104524,102.1,PACK-DEMO ONLY,referenced only inside its own pack by Monster Truck_12.prefab
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,N Van_10.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/N Van_10.fbx,86348,84.3,SHIPPED,City.unity dependency
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,N_Muscle Car_10.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/N_Muscle Car_10.fbx,90684,88.6,SHIPPED,City.unity dependency
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Pick Up_11.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Pick Up_11.fbx,91820,89.7,SHIPPED,City.unity dependency
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Police Car N_4.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Police Car N_4.fbx,108540,106.0,SHIPPED,City.unity dependency
